,,,,,,,,50%,60%,70%,80%,90%,100%
29380845,androidevil,f123,"@lucasddaniel You can use the edited answer and place the declared name of OkHttpClient to your Retrofit builder like this 
'Retrofit retrofitBuilderName = new Retrofit.Builder().
client(okttpclientName).
build();'","['okttpclientName', 'retrofitBuilderName', 'client(okttpclientName)', 'Retrofit.Builder()', 'build()', 'Builder()', 'retrofitBuilderName = new Retrofit', 'OkHttp', 'Retrofit.B']",,,,"[(10, ['Retrofit.B', 'retrofitBuilderName', 'Retrofit.Builder()', 'okttpclientName', 'OkHttp', 'client(okttpclientName)'])]","[(10, ['okttpclientName', 'client(okttpclientName)', 'Retrofit.Builder()', 'Retrofit.B'])]","[(10, ['Retrofit.Builder()', 'Retrofit.B', 'client(okttpclientName)', 'okttpclientName'])]","[(10, ['Retrofit.B', 'client(okttpclientName)'])]","[(10, ['Retrofit.B'])]","[(10, ['Retrofit.B'])]"
29380845,androidevil,Solace,Where do you get the `gson` object which you passed to this method? I followed a [tutorial](http://www.androidwarriors.com/2015/08/retrofit-android-example-web-services.html) to get this far and I was doing `RestAdapter restAdapter = new RestAdapter.Builder().setEndpoint(url).build(),"['RestAdapter', 'gson', 'RestAdapter restAdapter = new RestAdapter.Builder().setEndpoint(url).build();', 'Gson']",,,,,,,,,
29380845,androidevil,androidevil,"@Solace I have thid method: `public Gson providesGson() {
 return new GsonBuilder().create();
 }`. So I do this: `Gson gson = module.providesGson();
 RestAdapter adapter = module.providesRestAdapter(gson);`. Where module is an instance of the the proper class that have all these methods","['providesGson()', 'GsonBuilder().create()', 'providesRestAdapter', 'providesGson', 'module.providesGson()', 'providesRestAdapter(gson)', 'module.providesRestAdapter(gson)', 'gson = module', 'RestAdapter', 'adapter = module', '. So I do this:', 'GsonBuilder']",,,,,,,,,
29380845,androidevil,NineToeNerd,If you're using OkHttp3 you have to use `compile 'com.squareup.okhttp3:okhttp:3.x.x'` in the gradle import like in the answer below by Teo,"[""compile 'com.squareup.okhttp3:okhttp:3.x.x'"", 'OkHttp3']",16,1,16,,,,,,
29380845,androidevil,androidevil,@NineToeNerd thank you. I've edited the answer.,,,,,,,,,,
29684940,Padraic Cunningham,JuanPablo,http://ideone.com/aqqiKY,,,,,,,,,,
29684940,Padraic Cunningham,Padraic Cunningham,"@JuanPablo, that is correct yes?",,,,,,,,,,
29684940,Padraic Cunningham,JuanPablo,"yes ... but what happend with the `dt.datetime(1970, 1, 1, 0, 12)` value ? this value should be in a separate group","['datetime(1970, 1, 1, 0, 12)', 'dt.datetime(1970, 1, 1, 0, 12)']",3,1,3,"[(3, ['datetime(1970, 1, 1, 0, 12)', 'dt.datetime(1970, 1, 1, 0, 12)'])]","[(3, ['datetime(1970, 1, 1, 0, 12)', 'dt.datetime(1970, 1, 1, 0, 12)'])]","[(3, ['dt.datetime(1970, 1, 1, 0, 12)', 'datetime(1970, 1, 1, 0, 12)'])]","[(3, ['dt.datetime(1970, 1, 1, 0, 12)', 'datetime(1970, 1, 1, 0, 12)'])]","[(3, ['datetime(1970, 1, 1, 0, 12)', 'dt.datetime(1970, 1, 1, 0, 12)'])]","[(3, ['datetime(1970, 1, 1, 0, 12)'])]"
29684940,Padraic Cunningham,Padraic Cunningham,"Ah ok, I meant to ask you what should happen when there is only a single date. You just keep the date?",,,,,,,,,,
29684940,Padraic Cunningham,JuanPablo,"yes, when is a single datetime, don't use average",,,,,,,,,,
29684940,Padraic Cunningham,Padraic Cunningham,"@JuanPablo, edited, I should have added prev at the beginning and based the logic on that. You can avoid storing all the datetimes by doing the calculation in the loop, storing temp consecutive elements",,,,,,,,,,
29998062,Bhargav Rao,pewpew,Thank you! :) Appreciate the fast response. :) :),,,,,,,,,,
29998062,Bhargav Rao,Joe T. Boka,"Can you pls let me know how to print the output all in one line in Python 2.7 as this: `print(char,end = """")` only seems to works in Paython 3. Thanks.","['print(char,end = """")', 'end = """"']",,,,"[(4, ['print(char,end = """")', 'end = """"'])]","[(4, ['print(char,end = """")', 'end = """"'])]","[(4, ['print(char,end = """")', 'end = """"'])]","[(4, ['print(char,end = """")', 'end = """"'])]","[(4, ['print(char,end = """")', 'end = """"'])]","[(4, ['end = """"', 'print(char,end = """")'])]"
29998062,Bhargav Rao,Bhargav Rao,"@JoeR `print char,` in py2 (Note the trailing comma)","['print char,']",,,,,,,,,
29998062,Bhargav Rao,Adem Öztaş,What does `vowels_found = 0` mean ?,['vowels_found = 0'],3,1,3,"[(3, ['vowels_found = 0'])]","[(3, ['vowels_found = 0'])]","[(3, ['vowels_found = 0'])]","[(3, ['vowels_found = 0'])]","[(3, ['vowels_found = 0'])]","[(3, ['vowels_found = 0'])]"
29998062,Bhargav Rao,jfs,"If you need speed; work with bytes and call `bytestring.translate(None, non_vowels)`","['translate(None, non_vowels)', 'bytestring.translate(None, non_vowels)', 'non_vowels']",6,1,6,"[(6, ['translate(None, non_vowels)'])]","[(8, ['non_vowels'])]","[(8, ['non_vowels'])]","[(8, ['non_vowels'])]","[(8, ['non_vowels'])]","[(8, ['non_vowels'])]"
29998062,Bhargav Rao,jfs,`.translate()` for Unicode string is very slow (compared to `bytes` version). See [Best way to strip punctuation from a string in Python](http://stackoverflow.com/q/265960/4279),"['.translate()', 'bytes', '.translate()` for Unicode string is very slow (compared to `bytes` version)', 'translate()` for Unicode string is very slow (compared to `bytes` version)']",8,1,8,"[(13, ['.translate()'])]","[(13, ['.translate()'])]","[(13, ['.translate()'])]",,,
29998062,Bhargav Rao,jfs,"@BhargavRao: bytes-version is 10x faster than genexpr: `70.3`us vs. `4.75`us: `(b'mississippi'*100).translate(None, non_vowels)` where `non_vowels = bytearray(set(range(0x100)) - set(b'aeiou'))`. Or if input is Unicode: `text.encode('ascii', 'ignore').translate(None, non_vowels)` (it is also 10x faster than `''.join([c for c in text if c in 'aeiou'])`) where `text = 'mississippi'*100`.","['70.3', ""translate(None, non_vowels)` where `non_vowels = bytearray(set(range(0x100)) - set(b'aeiou'))`. Or if input is Unicode: `text.encode('ascii', 'ignore').translate(None, non_vowels)` (it is also 10x faster than `''.join([c for c in text if c in 'aeiou'])`)"", 'non_vowels = bytearray', ""'aeiou'"", ""''.join([c for c in text if c in 'aeiou'])"", ""'ascii'"", ""(b'mississippi'*100).translate(None, non_vowels)"", 'text =', ""'ignore'"", ""100).translate(None, non_vowels)` where `non_vowels = bytearray(set(range(0x100)) - set(b'aeiou'))`. Or if input is Unicode: `text.encode('ascii', 'ignore').translate(None, non_vowels)` (it is also 10x faster than `''.join([c for c in text if c in 'aeiou'])`)"", ""text = 'mississippi'*100"", ""non_vowels = bytearray(set(range(0x100)) - set(b'aeiou'))"", ""'mississippi'"", ""text.encode('ascii', 'ignore').translate(None, non_vowels)"", '4.75', 'non_vowels']",8,1,8,"[(8, [""non_vowels = bytearray(set(range(0x100)) - set(b'aeiou'))"", ""''.join([c for c in text if c in 'aeiou'])"", 'non_vowels', ""100).translate(None, non_vowels)` where `non_vowels = bytearray(set(range(0x100)) - set(b'aeiou'))`. Or if input is Unicode: `text.encode('ascii', 'ignore').translate(None, non_vowels)` (it is also 10x faster than `''.join([c for c in text if c in 'aeiou'])`)"", ""text = 'mississippi'*100"", ""'aeiou'"", ""'ignore'"", ""'ascii'"", ""(b'mississippi'*100).translate(None, non_vowels)"", 'non_vowels = bytearray', ""'mississippi'"", ""translate(None, non_vowels)` where `non_vowels = bytearray(set(range(0x100)) - set(b'aeiou'))`. Or if input is Unicode: `text.encode('ascii', 'ignore').translate(None, non_vowels)` (it is also 10x faster than `''.join([c for c in text if c in 'aeiou'])`)""])]","[(8, ['non_vowels = bytearray', ""'aeiou'"", ""''.join([c for c in text if c in 'aeiou'])"", ""text = 'mississippi'*100"", ""'mississippi'"", 'non_vowels'])]","[(8, ['non_vowels', 'non_vowels = bytearray', ""'mississippi'"", ""''.join([c for c in text if c in 'aeiou'])"", ""'aeiou'""])]","[(8, [""'mississippi'"", 'non_vowels', 'non_vowels = bytearray', ""'aeiou'""])]","[(8, ['non_vowels', ""'mississippi'"", 'non_vowels = bytearray', ""'aeiou'""])]","[(8, [""'aeiou'"", 'non_vowels = bytearray', ""'mississippi'"", 'non_vowels'])]"
29998062,Bhargav Rao,jfs,"1. `str.maketrans` and `dict.fromkeys` could be moved to the setup too. 2. To support arbitrary input, you should use `range(sys.maxunicode+1)` instead of `range(127)` there 3. On CPython: `''.join([...])` (listcomp) is faster than `''.join(...)` (genexpr).","[""''.join([...])"", 'str.maketrans', ""range(sys.maxunicode+1)` instead of `range(127)` there 3. On CPython: `''.join([...])` (listcomp) is faster than `''.join(...)` (genexpr)"", 'range(127)', ""''.join(...)"", 'dict.fromkeys', 'range(sys.maxunicode+1)']",,,,"[(13, ['str.maketrans'])]","[(13, ['str.maketrans'])]",,,,
29998062,Bhargav Rao,jfs,"@BhargavRao: What is your OS, Python version? I don't remember seeing that `''.join(genexpr)` being faster than `''.join(listcomp)`. [ideone confirms it](http://ideone.com/veVaH8).","[""''.join(genexpr)` being faster than `''.join(listcomp)"", ""join(genexpr)` being faster than `''.join(listcomp)"", ""''.join(genexpr)"", ""''.join(listcomp)""]",,,,,,,,,
29998062,Bhargav Rao,jfs,note: I've used `bytearray()` rather than `bytes()` to make the code being able to run on both Python 2 and 3 (from the same source),"['bytearray()', 'bytearray()` rather than `bytes()` to make the code being able to run on both Python 2 and 3 (from the same source)', 'bytes()']",,,,"[(17, ['bytearray()'])]",,,,,
29998062,Bhargav Rao,jfs,(it is not the end ;)) Note: Python 3.5 greatly improves dict.fromkeys unicode .translate() case (same performance as bytes case for the input in the answer).,"['.translate()', 'bytes', 'dict.fromkeys', 'translate()']",17,1,17,,,,,,
29998062,Bhargav Rao,Bhargav Rao,"Yep, certainly. Let's improve the answer to contain 3.5 specs too. But for that I have to read WNIP3.5 before :/. Actually @J.F. I'm waiting for my current project to get over and completely remove 3.4. and move over to 3.5.",,,,,,,,,,
29998062,Bhargav Rao,Bhargav Rao,@J.F. Added the Python3.5 results. The table has just overturned.,,,,,,,,,,
30254825,Shashank,Roboticist,"@Shahank: Putting aside the point that it is considerably more complicated than the candidate solution and has ruined the readability, but the performance sounds got better... Thank you...",,,,,,,,,,
30254825,Shashank,Shashank,"@Ordenador Yes you're right, I guess I could make a different version that goes through the file line by line...but that is actually computationally harder for computers due to i/o and string-parsing bottlenecks and I was aiming for performance...",,,,,,,,,,
30254825,Shashank,Roboticist,"All in all, I am grateful for your contribution.",,,,,,,,,,
30254825,Shashank,Jon Clements,"@Ordenador note that you could also re-factor this answer to do line by line and make the matching more explicit, eg: `agent_list = list(([int(i) for i in re.match(r'\((\d+), (\d+)\)', line).groups()] for line in f))`","[""agent_list = list(([int(i) for i in re.match(r'\\((\\d+), (\\d+)\\)', line).groups()] for line in f))"", ""list(([int(i) for i in re.match(r'\\((\\d+), (\\d+)\\)', line).groups()] for line in f))"", 'agent_list = list']",10,1,10,"[(8, ['agent_list = list', ""agent_list = list(([int(i) for i in re.match(r'\\((\\d+), (\\d+)\\)', line).groups()] for line in f))"", ""list(([int(i) for i in re.match(r'\\((\\d+), (\\d+)\\)', line).groups()] for line in f))""])]","[(8, [""agent_list = list(([int(i) for i in re.match(r'\\((\\d+), (\\d+)\\)', line).groups()] for line in f))"", ""list(([int(i) for i in re.match(r'\\((\\d+), (\\d+)\\)', line).groups()] for line in f))"", 'agent_list = list'])]","[(8, ['agent_list = list', ""list(([int(i) for i in re.match(r'\\((\\d+), (\\d+)\\)', line).groups()] for line in f))""])]","[(8, ['agent_list = list'])]","[(8, ['agent_list = list'])]",
30461539,Nikolaj Sarry,MedYasser.alkahf,"I'm using laravel 5, it's auto generated with the form",,3,0,,,,,,,
30461539,Nikolaj Sarry,itachi,he's already sending the token in ajax request.,,,,,,,,,,
30461539,Nikolaj Sarry,Nikolaj Sarry,"add `use Input;
use Request;` to controller file",,,,,,,,,,
30461539,Nikolaj Sarry,MedYasser.alkahf,"I already added it, the same result, when I comment the 'App\Http\Middleware\VerifyCsrfToken in Kernel.php, it works properly, and I get the value of the _token",['VerifyCsrf'],4,1,4,,,,,,
30461539,Nikolaj Sarry,MedYasser.alkahf,"but it's not recommended to comment it, so is there any other solution ?",,4,0,,,,,,,
30461539,Nikolaj Sarry,Nikolaj Sarry,`/storage/framework/sessions` fully writable?,['/storage/framework/sessions'],,,,,,,,,
30461539,Nikolaj Sarry,Nikolaj Sarry,"check UPD2 steps, is it helpful? and check is laravel installation path same in `sessions.php` config file",['sessions.php'],,,,,,,,,
30461539,Nikolaj Sarry,MedYasser.alkahf,"I tried all this, still the same problem :( !!",,,,,,,,,,
30933006,EvertW,NAMAN SHUKLA,"Thanks for your reply. What i really want is to increase my speed variable up to 8.0, if i press the UP key (by 0.1 step). And similarly decrease it when I leave the UP key till speed becomes 0.",,4,1,4,,,,,,
30933006,EvertW,NAMAN SHUKLA,"According to my logic, ""if event.type == pygame.KEYDOWN"" condition will execute if any KEY is pressed, therefore i've written another condition ""if event.key == pygame.K_UP"", this will check the KEY that is pressed is UP key. and then I've applied the speed limit condition.
Similarly for KEYUP, Please correct me if I am wrong.","['K_UP', 'type == pygame', 'pygame.KEYDOWN', 'key == pygame', 'pygame.K_UP', 'pygame.K']",4,1,4,"[(4, ['pygame.K_UP', 'pygame.KEYDOWN', 'K_UP', 'pygame.K', 'type == pygame', 'key == pygame'])]","[(4, ['K_UP', 'type == pygame', 'pygame.KEYDOWN', 'key == pygame', 'pygame.K_UP', 'pygame.K'])]","[(4, ['key == pygame', 'pygame.K_UP', 'pygame.KEYDOWN', 'K_UP', 'type == pygame', 'pygame.K'])]","[(4, ['pygame.K_UP', 'key == pygame', 'type == pygame', 'pygame.KEYDOWN', 'pygame.K', 'K_UP'])]","[(4, ['pygame.K', 'type == pygame', 'key == pygame', 'pygame.K_UP', 'pygame.KEYDOWN', 'K_UP'])]","[(4, ['key == pygame', 'pygame.K', 'pygame.KEYDOWN', 'type == pygame', 'pygame.K_UP', 'K_UP'])]"
30933006,EvertW,EvertW,"If I understand you correctly, you want to increase the speed while the UP key is pressed, upto a maximum of 8. Likewise, you want to decrease the speed while the DOWN key is pressed until the speed is 0. I will adjust the answer accordingly.",,,,,,,,,,
30933006,EvertW,NAMAN SHUKLA,"Yeah the increasing part is true ,but what game requires is that, as I release UP key, the speed should go to 0 (in step of 0.1)",,5,1,5,,,,,,
30933006,EvertW,EvertW,"In that case, you can't use the keyboard repeat: you should add a timer to decrease the speed while the user is not doing anything. I'll adjust the answer accordingly.",,,,,,,,,,
30933006,EvertW,NAMAN SHUKLA,Its working fine now. Thank you very much for your answer and precious time.,,,,,,,,,,
31170733,Innocuous,iullianr,"Your solution is not correct. filepath is a String object not a bean, so you should not declare a bean with that name and put it as reference.
Also, if you have a dependency from within ReadTLEFile object to the request object, and the dependency is injected with the proper configuration, why do you need to call object.readFile with a parameter that is already injected in the object attribute?","['readFile', 'ReadTLEFile']",2,0,,"[(2, ['ReadTLEFile', 'readFile'])]","[(2, ['readFile', 'ReadTLEFile'])]","[(2, ['readFile'])]","[(2, ['readFile'])]",,
31170733,Innocuous,Innocuous,"You can add the filepath bean class attribute as class = ""java.lang.String"". <bean id = ""filepath"" class = ""java.lang.String"" ><value>TLE files/geostationary.txt</value></property></bean>","['id = ""filepath"" class', '</bean>', '<value>', 'lang.S', 'class = ""java', '</value>', '</property>']",,,,,,,,,
31170733,Innocuous,cadebe,The feedback helped. Thank you. Still getting error messages I can't resolve. The code lives here:https://github.com/Carla-de-Beer/Java/tree/master/DI%20problem/ReadTLEFile,,,,,,,,,,
31786638,Jordi Castilla,dashsiamak,thanks for answering. But It doesn't work! :(,,3,0,,,,,,,
31786638,Jordi Castilla,Jordi Castilla,"Uhmmm... I see... this is because you initialize `MediaPlayer` each time you call the service... and you must use same instance all times!!! put `mp=MediaPlayer.create(this,R.raw.s);` in `onCreate()` of the service or declare and initialize it in the MainActivity and `pause()` or `play()` in service","['pause()', 'mp=MediaPlayer', 'MediaPlayer', 'onCreate()', 'play()', 'MainActivity', 'MediaPlayer.create(this,R.raw.s);` in `onCreate()` of the service or declare and initialize it in the MainActivity and `pause()` or `play()', 'create(this,R.raw.s);` in `onCreate()` of the service or declare and initialize it in the MainActivity and `pause()` or `play()', 'mp=MediaPlayer.create(this,R.raw.s);', 'onCreate']",,,,,,,,,
31786638,Jordi Castilla,dashsiamak,I used put extra at first but It has error on get intent: cannot resolve method 'getintent()',"[""'getintent()"", 'getintent()']",,,,,,,,,
31786638,Jordi Castilla,dashsiamak,uh! yes I put it in oncreate an it works! thank you very much for helping...,,,,,,,,,,
31786638,Jordi Castilla,Jordi Castilla,@dashsiamak glad to help.... I updated the answer for future users,,,,,,,,,,
32050571,Mauker,RichFounders,"ok so the problem is because i put the Sharedpreferences onCreate method, so whats code should i change to make sharedpreferences work correctly? can you show me the repair of my code with an explain of the code?",['onCreate'],4,1,4,"[(4, ['onCreate'])]","[(4, ['onCreate'])]","[(4, ['onCreate'])]","[(4, ['onCreate'])]","[(4, ['onCreate'])]","[(4, ['onCreate'])]"
32050571,Mauker,Mauker,You can keep it on the onCreate() with some adjustments. I'll update my answer soon.,"['onCreate', 'onCreate()']",,,,,,,,,
32050571,Mauker,Mauker,@Chairizky Take a look now. And that's not the only way to solve it. It depends on what behavior you want to achieve on your game.,,,,,,,,,,
32050571,Mauker,RichFounders,"ok, so i dont need onResume() method again right?","['onResume()', 'onResume']",5,1,5,,,,,,
32050571,Mauker,Mauker,"Actually, you could do that there instead of doing it on the `onCreate()`. Might even be better, because it'll check for your game status every time the user resume the `Activity`.","['onCreate', 'Activity', 'onCreate()']",,,,,,,,,
32050571,Mauker,RichFounders,"oh ok, so i can put onResume() in else? at this else line //Player is alive, do whatever you want, or do nothing at all.","['onResume()', 'onResume']",,,,,,,,,
32050571,Mauker,Mauker,Let us [continue this discussion in chat](http://chat.stackoverflow.com/rooms/87177/discussion-between-mauker-and-chairizky).,,,,,,,,,,
32772686,heisian,Dan Hunsaker,"To be clear, this answer doesn't actually deal with helpers, which are global-namespaced functions. Instead, it encourages converting helpers to class methods. This is generally the best approach, but doesn't actually answer the question asked here, which is why other answers are so complex by comparison.",,8,0,,,,,,,
32772686,heisian,MaXi32,Function helper means it is available in Blade as well.How do you make this function available in blade? You cannot call Helper::prettyJason(parameters) in blade.,"['prettyJason(parameters)', 'well.H', 'prettyJason']",6,1,6,"[(8, ['prettyJason', 'prettyJason(parameters)'])]","[(8, ['prettyJason(parameters)', 'prettyJason'])]","[(8, ['prettyJason'])]","[(8, ['prettyJason'])]","[(8, ['prettyJason'])]",
32772686,heisian,heisian,"@MaXi32 you could add the class under the `aliases` array in `app/config.php`: `'Helper' => App\Helpers\Helper::class,` Then you would be able to call `Helper::prettyJson();` in blade just fine.","['aliases', ""'Helper' => App\\Helpers\\Helper::class,"", 'prettyJson()', ""'Helper'"", 'prettyJson', 'Helper::prettyJson();', 'app/config.php']",,,,,,,,,
32772686,heisian,heisian,"@DanHunsaker edited to directly answer the question, and it's still the same simple approach. You can also just write your own custom blade directives: http://stackoverflow.com/questions/28290332/best-practices-for-custom-helpers-on-laravel-5#36888067",,,,,,,,,,
32772686,heisian,Dan Hunsaker,"@heisian while I agree this is the *correct* answer, it still doesn't actually give you access to *helpers*. That's all I was intending to point out to the previous commenter. I personally favor discontinuing use of helpers (which are, to be clear, global functions, rather than class methods) in favor of this approach, for all the reasons stated elsewhere on this page. (Though since the OP explicitly wanted a helper for their views, the Blade directive approach is, perhaps, even better for answering the *specific* question asked here.)",,,,,,,,,,
32772686,heisian,heisian,"@DanHunsaker Well, here's the framework source for where helpers are defined: https://github.com/laravel/framework/blob/master/src/Illuminate/Foundation/helpers.php
No namespacing, so this file is loaded somewhere in Laravel without the help of the `ClassLoader`.. so to extend these types of functions the way to do it would be as others have said is to do a manual `require` or `include`. I don't know though, some people's obsession is with being able to call `myGlobalFunction()` whereas my obsession is `VerySpecificClass::method()`.. I just think it encourages proper organization.","['require', 'ClassLoader', 'myGlobalFunction()', 'include', 'myGlobalFunction()` whereas my obsession is `VerySpecificClass::method()', 'VerySpecific', 'VerySpecificClass::method()', 'myGlobalFunction']",,,,,,,,,
32772686,heisian,Dan Hunsaker,"Yeah, I dug through the framework once and found where they pulled the helpers in. And again, I completely agree that methods of namespaced static classes are a much cleaner fit than what's being requested - or recommended - most of the time. The fact is, helpers aren't really The Laravel Way in the first place, but rather a holdover from CodeIgniter 2.x that still hasn't been phased out. So my pedantry about this approach not answering the OP exactly as asked is more an attempt to highlight the fact that you don't get helpers, but rather something better.",['CodeIgniter'],,,,,,,,,
32772686,heisian,heisian,"so perhaps an all-encompassing answer would say, hey, this is how you can create global helpers (w/ code examples), but there is actually a more ""friendly"" way to do things, and this is what I recommend instead.",,,,,,,,,,
32772686,heisian,P_95,This works well. But should it be /config/app.php not /app/config.php (Step 2),,13,1,13,,,,,,
32772686,heisian,goredwards,"@heisian your alias definition should be `'Helper' => App\Helpers\Helper::class,` (ie quotes around the key but no quotes around the value) - or it will throw a `Class Helper does not exist` error","['Class Helper does not exist', ""'Helper' => App\\Helpers\\Helper::class,"", ""'Helper'""]",14,1,14,,,,,,
32772686,heisian,stef,"This gives me an error:: Argument 1 passed to App\Helpers\Helper::shout() must be an instance of App\Helpers\string, string given. Something to do with scalar type hinting?",['shout()'],,,,,,,,,
32772686,heisian,omarjebari,"This is the best answer but you don't even need to create an alias for this class, certainly not in 5.4 anyway.

Create a class somewhere convenient for you, eg App/Libraries/Helper.php

 class Helper() {",['Helper()'],,,,,,,,,
32772686,heisian,FabioCosta,Wouldn't that 'Use helper' throw an The use statement with non-compound name 'Helper' has no effect in... ?,"[""'t that '"", ""'Helper'""]",,,,,,,,,
32772686,heisian,heisian,"This answer was written for Laravel 5.1, feel free to propose any edits for the latest version.. I haven't used it yet.",,,,,,,,,,
32772686,heisian,Evol Rof,finally find a way that can be used in blade,,,,,,,,,,
32772686,heisian,Jed Lynch,"This solution makes the most sense. Any application should work with in laravel framework, especially if you are a part of a team of developers. Composer.json should only change if you adding vendor libraries (and as few as possible should be added). Stitching a script to the composer.json file invites future developers to this pseudo app dumping ground that is not bound to any context with in the framework. I don't why that is the winning answer. That solution wouldn't make it through code review where I work.",,,,,,,,,,
32823117,Akhilesh Kumar,iknk,"i guess i have problem with server things.. i will work on it, thank you all",,,,,,,,,,
32823117,Akhilesh Kumar,Akhilesh Kumar,who gave me negative point? what is the wrong in my answer?,,,,,,,,,,
32823117,Akhilesh Kumar,RossW,"because your code will not work, its actually <?php phpinfo();?>",['phpinfo()'],2,1,2,"[(3, ['phpinfo()'])]","[(3, ['phpinfo()'])]","[(3, ['phpinfo()'])]","[(3, ['phpinfo()'])]","[(3, ['phpinfo()'])]","[(3, ['phpinfo()'])]"
32823117,Akhilesh Kumar,Akhilesh Kumar,"ha ha ha, you may correct it, but giving negative point is ........ Thanks.",,,,,,,,,,
32823117,Akhilesh Kumar,RossW,you should always check your code works,,,,,,,,,,
33110852,hata,joao Beno,"Yes, I added the source from that view too...",,2,0,,,,,,,
33110852,hata,hata,"I saw your updated post. However, if your Fragment is populated in the `R.layout.activity_atividade_principal`, its `onCreateView` may go ahead. Please check which is earlier by inserting `Log.d()`s in the `onCreateView` and just before `setSupportActionBar(mToolbar);`","['Log.d()`s in the `onCreateView` and just before `setSupportActionBar(mToolbar)', 'Log.d()', 'R.layout.activity_atividade_principal', 'onCreateView', 'setSupportActionBar(mToolbar);', 'setSupportAction', 'mToolbar', 'd()`s in the `onCreateView` and just before `setSupportActionBar(mToolbar)']",,,,,,,,,
33110852,hata,joao Beno,NavigationDrawerFragment's onCreateView is called first...,"['onCreateView', 'NavigationDrawer']",2,1,2,,,,,,
33110852,hata,hata,Updated my answer. Please have a try.,,,,,,,,,,
33110852,hata,joao Beno,"No go... `activity.findViewById(R.id.toolbar);` returns null... The toolbar is on `activity_atividade_principal.xml`. I inspected the `activity`, and it returned an `AtividadePrincipal` object...","['activity.findViewById(R.id.toolbar);', 'activity.findViewById(R.id.toolbar)', 'findViewById(R.id.toolbar)', 'activity', 'AtividadePrincipal', 'activity_atividade_principal.xml', 'findViewBy']",,,,,,,,,
34459380,Ian Jamieson,wuno,"So in this example is theArray also the key in the local storage. so for me if I had the key as keyword and the array as myArray would it then be,
localStorage.setItem('keyword', JSON.stringify(myArray)); ?","['localStorage', ""'keyword'"", 'myArray', 'theArray', ""setItem('keyword', JSON.stringify(myArray))"", ""localStorage.setItem('keyword', JSON.stringify(myArray))"", 'setItem']",3,1,3,"[(3, ['myArray', ""setItem('keyword', JSON.stringify(myArray))"", 'setItem', 'theArray', ""localStorage.setItem('keyword', JSON.stringify(myArray))"", 'localStorage'])]","[(3, ['localStorage', 'myArray', 'theArray', ""setItem('keyword', JSON.stringify(myArray))"", ""localStorage.setItem('keyword', JSON.stringify(myArray))"", 'setItem'])]","[(3, [""setItem('keyword', JSON.stringify(myArray))"", 'theArray', 'setItem', ""localStorage.setItem('keyword', JSON.stringify(myArray))"", 'localStorage'])]","[(3, ['setItem', 'localStorage', ""localStorage.setItem('keyword', JSON.stringify(myArray))"", ""setItem('keyword', JSON.stringify(myArray))"", 'theArray'])]","[(3, ['localStorage', 'setItem', 'theArray'])]","[(3, ['setItem', 'localStorage', 'theArray'])]"
34459380,Ian Jamieson,Ian Jamieson,"Yes, correct. You would then retrieve that key, `localStorageTheArray = JSON.parse(localStorage.getItem('keyword'));`","['localStorage', 'getItem', 'localStorageTheArray = JSON', ""localStorageTheArray = JSON.parse(localStorage.getItem('keyword'));"", ""'keyword'"", ""JSON.parse(localStorage.getItem('keyword'))"", ""parse(localStorage.getItem('keyword'))"", 'localStorageThe']",,,,,,,,,
34459380,Ian Jamieson,wuno,So after you consolo.log at the end there can I just push to the array and print the array without ever calling the stringifya nd parse again? Does it just need to be done once after it's created? Or do I need to think of it as something moving back and forth and needs to be converted each time?,,3,1,3,,,,,,
34459380,Ian Jamieson,Ian Jamieson,You need to convert it every single time. Every time you write to local storage you will need to stringify and every time you will need to parse. I have written a function that would be able to do this for you each time.,,,,,,,,,,
34459380,Ian Jamieson,wuno,Thank you very much.,,,,,,,,,,
34767888,EdChum,ℕʘʘḆḽḘ,excellent!!! would that work with datetime.strptime too?,,2,1,2,,,,,,
34767888,EdChum,EdChum,"yes but it will be slower as you'd have to operate on each element, here we use `to_datetime` on each column which is a vectorised method, all values in the column are converted rather than an element at a time",['to_datetime'],,,,,,,,,
34767888,EdChum,ℕʘʘḆḽḘ,you're the boss. thank you,,,,,,,,,,
34767888,EdChum,EdChum,Additionally when we cast floats (they're floats because of the presence of `NaN`) you introduce `.0` to the values which would need to be converted to int either as a pre/post processing step,"['.0', 'NaN']",,,,,,,,,
34767888,EdChum,EdChum,also `strptime` can't handle `NaN` either as float or str form so it borks on this,"['strptime', 'NaN']",,,,,,,,,
34767888,EdChum,The6thSense,Just one clarification when you apply `to_datetime` the string `NaN` is converted to pandas `NaN` right?,"['to_datetime', 'NaN']",,,,,,,,,
34767888,EdChum,EdChum,@The6thSense It's technically `NaT` which is a special `NaN` value for datetimes to indicate invalid values,"['NaT', 'NaN']",,,,,,,,,
34767888,EdChum,The6thSense,So basically `to_datetime` does two things converting to date and converting to NaT.,"['to_datetime', 'NaT']",,,,,,,,,
34767888,EdChum,The6thSense,Thanks for the clarification beautiful answer.,,,,,,,,,,
34767888,EdChum,EdChum,@The6thSense yes that is correct this is why I demonstrated both methods to show why the pandas way is better,,,,,,,,,,
